PLAYER NAME,Country,College
David Lipsky,USA,"Northwestern University  (2011, Political Science and History) "
David Toms,USA,Louisiana State University 
Davis Love III,USA,University of North Carolina 
Dawie van der Walt,RSA,"Lamar University  (2004, Applied Science) "
Denny McCarthy,USA,"University of Virginia  (2015, Anthropology) "
Derek Ernst,USA,"University of Nevada-Las Vegas  (2012, Hotel Management) "
Derek Fathauer,USA,
Dicky Pride,USA,University of Alabama 
Doc Redman,USA,Clemson University 
Dominic Bozzelli,USA,"Auburn University  (2013, Interdisciplinary Studies, Business and Psychology) "
Dudley Hart,USA,University of Florida 
Duffy Waldorf,USA,"UCLA  (1985, Psychology) "
Dustin Johnson,USA,Coastal Carolina University 
Dylan Frittelli,RSA,"University of Texas  (2012, Geography) "
Dylan Meyer,USA,"University of Illinois 2018, Political Science"
Eddie Pepperell,ENG,
Emiliano Grillo,ARG,
Eric Axley,USA,East Tennessee State University 
Erik Compton,USA,University of Georgia 
Erik van Rooyen,RSA,University of Minnesota 
Ernie Els,RSA,
Ethan Tracy,USA,"University of Arkansas  (2013, Kinesiology ) "
Francesco Molinari,ITA,University of Torino (Business) 
Frank Lickliter II,USA,"Wright State University  (1991, Sociology) "
Fred Couples,USA,University of Houston 
Fred Funk,USA,"University of Maryland (1980, Law Enforcement) "
Freddie Jacobson,SWE,
Garrett Osborn,USA,"University of Alabama-Birmingham  (Philosophy, 2007) "
Garrett Willis,USA,"East Tennessee State University  (1996, Communications) "
Gary Woodland,USA,"University of Kansas  (2007, Sociology) "
Geoff Ogilvy,AUS,
George Coetzee,RSA,University of San Diego 
George McNeill,USA,Florida State University 
Glen Day,USA,"University of Oklahoma  (1988, Finance) "
Graeme McDowell,NIR,"University of Alabama-Birmingham  (2002, Economics, Engineering) "
Graham DeLaet,CAN,"Boise State University  (2006, Physical Education) "
Grayson Murray,USA,Arizona State University 
Greg Chalmers,AUS,
Greg Owen,ENG,
Guy Boros,USA,University of Iowa  (1986) 
Hank Lebioda,USA,"Florida State University  (2016, Finance) "
Haotong Li,CHN,
Harold Varner III,USA,"East Carolina University  (2012, Marketing) "
Harris English,USA,"University of Georgia  (2011, Consumer Economics) "
Harrison Frazar,USA,"University of Texas  (1996, Psychology and Business Foundations) "
Heath Slocum,USA,"University of South Alabama  (1996, Physical Education) "
Henrik Norlander,SWE,"Augusta University  (2011, Business Marketing) "
Henrik Stenson,SWE,
Hideki Matsuyama,JPN,Tohoku Fukushi University 
Hideto Tanihara,JPN,Tohoku Fukushi University  (2000) 
Hiroshi Iwata,JPN,Tohoku Fukushi University  (2003) 
Hudson Swafford,USA,"University of Georgia  (2011, Consumer Economics) "
Hunter Mahan,USA,Oklahoma State University 
Hunter Stewart,USA,"Vanderbilt University  (2015, Economics) "
Ian Poulter,ENG,Barclay School 
J.B. Holmes,USA,University of Kentucky 
J.J. Henry,USA,"Texas Christian University  (1998, Marketing) "
J.J. Spaun,USA,"San Diego State University  (2012, Social Sciences) "
J.T. Poston,USA,"Western Carolina University  (2015, Finance) "
James Hahn,USA,"University of California-Berkeley  (2003, American Studies) "
Jamie Donaldson,WAL,
Jamie Lovemark,USA,University of Southern California 
Jared du Toit,CAN,"Arizona State University 2017, Marketing"
Jarrod Lyle,AUS,
Jason Bohn,USA,"University of Alabama  (1995, Finance) "
Jason Day,AUS,
Jason Dufner,USA,"Auburn University  (2000, Economics) "
Jason Gore,USA,"Pepperdine University  (2000, Psychology) "
Jason Kokrak,USA,"Xavier University  (2007, Communications) "
Jay Don Blake,USA,Utah State University 
Jeff Overton,USA,"Indiana University  (2005, Sports Management) "
Jerry Kelly,USA,"University of Hartford  (1989, Finance and Insurance) "
Jhonattan Vegas,VEN,"University of Texas  (2008, General Kinesiology) "
Jim Furyk,USA,University of Arizona 
Jim Herman,USA,University of Cincinnati 
Jim Knous,USA,"Colorado School of Mines  (Civil Engineering, 2012) "
Jim Renner,USA,"Johnson & Wales University  (2007, Sports Entertainment) "
Jimmy Walker,USA,Baylor University 
Joaquin Niemann,CHI,
Joe Affrunti,USA,"University of Illinois  (2004, Speech Communications) "
Joel Dahmen,USA,University of Washington 
Joey Garber,USA,University of Georgia  (2014) 
John Chin,USA,"University of California-Irvine  (2010, Sociology) "
John Daly,USA,University of Arkansas 
John Huh,USA,California State University-Northridge 
John Merrick,USA,"UCLA  (2004, Sociology) "
John Oda,USA,
John Peterson,USA,Louisiana State University 
John Rollins,USA,"Virginia Commonwealth University  (1997, Mass Communications) "
John Senden,AUS,
Johnson Wagner,USA,Virginia Tech 
Jon Curran,USA,
Jon Rahm,ESP,"Arizona State University  (2016, Communications) "
Jonas Blixt,SWE,"Florida State University  (2008, International Business) "
Jonathan Byrd,USA,"Clemson University  (2000, Marketing) "
Jonathan Kaye,USA,"University of Colorado  (1993, Bachelor of Science) "
Jonathan Randolph,USA,"University of Mississippi  (2011, Business Marketing) "
Joost Luiten,NED,
Jordan L Smith,ENG,
Jordan Niebrugge,USA,"Oklahoma State University  (Entrepreneurship, 2016) "
Jordan Spieth,USA,University of Texas 
Josh Teater,USA,"Morehead State University  (2001, Business) "
Julian Suri,USA,
Justin Harding,RSA,
Justin Hicks,USA,"University of Michigan  (1997, Political Science) "
Justin Leonard,USA,"University of Texas  (1994, Business) "
Justin Rose,ENG,
Justin Thomas,USA,University of Alabama 
K.J. Choi,KOR,
Keegan Bradley,USA,"St. Johns University  (2008, Sport Management) "
